ownership_date,committer_id,ownership_count_90,ownership_count_80,ownership_count_70,commits_since_last_date,num_changed_loc_since_last_date,active_since_last_date,ownership_count_simple_majority,total_num_files_committed_to_so_far,num_files_committed_to_since_last_date,total_commits_so_far,minority_contributor_count,ownership_count_100
2008-11-02 19:24:20,18,8892,8905,8936,6,20,t,10350,12995,1,1036,138,8890
2008-11-02 19:24:20,59,15,16,18,0,0,f,55,195,0,156,32,14
2008-11-02 19:24:20,78,3879,3884,3892,835,314301,t,3947,4136,3934,488,38,3879
2008-11-02 19:24:20,13,2,2,2,0,0,f,18,63,0,9,15,2
2008-11-02 19:24:20,49,0,0,0,0,0,f,1,68,0,33,28,0
2008-11-02 19:24:20,22,20,20,22,0,0,f,48,284,0,104,28,20
2008-11-02 19:24:20,63,0,0,0,2,20,t,0,1,1,2,1,0
2008-11-02 19:24:20,9,8345,8351,8377,0,0,f,9587,10978,0,870,106,8345
2008-11-02 19:24:20,24,3769,3774,3775,158,5786,t,4357,5620,60,507,107,3769
2008-11-02 19:24:20,70,0,0,0,0,0,f,0,87,0,11,16,0
2008-11-02 19:24:20,64,0,0,0,8,182,t,0,4,4,2,1,0
2008-11-02 19:24:20,45,0,0,0,0,0,f,0,28,0,8,5,0
2008-11-02 19:24:20,27,147,164,194,0,0,f,462,1914,0,621,137,144
2008-11-02 19:24:20,55,3,3,4,46,2342,t,21,68,27,144,11,3
2008-11-02 19:24:20,68,2,2,2,0,0,f,55,228,0,94,36,2
2008-11-02 19:24:20,38,17627,18194,19365,4899,1261633,t,23209,27636,13254,4411,30,17565
2008-11-02 19:24:20,60,5,5,6,134,17212,t,927,3325,52,339,100,5
2008-11-02 19:24:20,74,0,0,0,10,90,t,0,5,5,10,1,0
2008-11-02 19:24:20,6,0,0,0,0,0,f,0,1,0,3,1,0
2008-11-02 19:24:20,71,40,40,40,516,26676,t,56,326,248,284,42,40
2008-11-02 19:24:20,29,49,50,51,134,35886,t,123,603,44,218,79,49
